Country Code,Country,Region,hdicode,Year,co2_prod,abr,coef_ineq,diff_hdi_phdi,eys,eys_f,eys_m,gii,gni_pc_f,gni_pc_m,gnipc,hdi,hdi_f,hdi_m,ihdi,ineq_edu,ineq_inc,ineq_le,le,le_f,le_m,lfpr_f,lfpr_m,mf,mmr,mys,mys_f,mys_m,phdi,pr_f,pr_m,se_f,se_m,IncomeGroup,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate)
AFG,Afghanistan,South Asia,Low,2010,0.287738705,120.82,29.13924655,1.116071429,9.002689838,6.819135189,11.07618475,0.753,510.7815973,3336.66999,1938.315627,0.448,0.322100371,0.513389368,0.312,42.809,10.767,33.84173965,60.8508,62.4078,59.2776,15.111,76.842,1.77,954.0,2.105191281,0.945960754,2.690212786,0.443,27.63532764,72.36467236,1.787758819,11.84959453,Low income,39.829,8.25,107.37284024296434,15856600000.0,543.303,4.0,64.3,61.028,44.7041,2.275
AFG,Afghanistan,South Asia,Low,2011,0.401953514,116.454,29.49569394,1.315789474,9.278809547,7.226290226,11.22854996,0.746,537.5166085,3430.9836,1999.653042,0.456,0.33352807,0.519746648,0.315,44.82338,10.767,32.89670181,61.4191,62.9926,59.8254,15.454,76.659,2.12,905.0,2.157332242,1.011199426,2.755239372,0.45,27.63532764,72.36467236,2.008868343,12.40825237,Low income,38.75,7.936,110.6936497350148,17804300000.0,591.162,5.0,61.9,61.553,46.1315,1.984
AFG,Afghanistan,South Asia,Low,2012,0.327921976,111.286,29.20871299,1.072961373,9.57732296,7.423226833,11.62274996,0.738,585.0930232,3633.440859,2125.862821,0.466,0.344152186,0.530178097,0.323,44.82338,10.767,32.03575897,61.923,63.5135,60.3173,15.879,76.42,1.86,858.0,2.209473202,1.076438099,2.820265958,0.461,27.63532764,72.36467236,2.229977866,12.96691022,Low income,37.69,7.645,114.11716467527296,20001600000.0,641.872,5.45455,59.5,62.054,47.7306,1.692
AFG,Afghanistan,South Asia,Low,2013,0.261571351,106.537,23.649936161647123,1.054852321,9.875836372,7.620163441,12.01694997,0.728,637.7671699,3715.00501,2193.553936,0.474,0.354771795,0.538757274,0.4913376764386536,44.82338,26.35624195933059,31.20422935,62.4167,64.0268,60.7915,16.794,75.588,1.88,810.0,2.261614163,1.141676772,2.885292544,0.469,27.63532764,72.36467236,2.45108739,13.52556807,Low income,36.67,7.38,117.6465615209,20561100000.0,637.165,5.9,57.3,62.525,49.428,1.725
AFG,Afghanistan,South Asia,Low,2014,0.232967187,101.454,23.649936161647123,1.043841336,10.17434978,7.817100048,12.41114998,0.718,506.1399397,3813.313521,2178.507021,0.479,0.34346564,0.545574279,0.4913376764386536,44.82338,26.35624195933059,30.7356205,62.5451,64.2743,60.8119,17.749,74.737,1.66,786.0,2.313755123,1.206915444,2.95031913,0.474,27.63532764,72.36467236,2.672196913,14.08422592,Low income,35.706,7.141,121.28511497,20484900000.0,613.856,7.0,55.1,62.966,51.1148,1.735
AFG,Afghanistan,South Asia,Low,2015,0.229679525,97.415,23.649936161647123,0.836820084,10.18014979,7.791942477,12.44831991,0.706,681.1316993,3489.646939,2101.589319,0.478,0.364833242,0.5421892,0.4913376764386536,45.36517,26.35624195933059,30.17712593,62.6587,64.5759,60.7597,18.746,73.875,1.62,701.0,2.365896084,1.272154117,3.015345715,0.474,27.44479495,72.55520505,2.893306437,14.64288377,Low income,34.809,6.929,125.036201,19907100000.0,578.466,8.26,53.1,63.377,52.7121,1.679
AFG,Afghanistan,South Asia,Low,2016,0.190616791,94.018,23.649936161647123,0.831600832,10.1859498,7.766784906,12.48548985,0.692,712.0450633,3411.484186,2077.566899,0.481,0.37129479,0.544158827,0.4913376764386536,45.36517,26.35624195933059,29.33408546,63.1361,65.0957,61.1934,19.798,73.045,1.66,673.0,2.463660385,1.430357898,3.082469933,0.477,27.44479495,72.55520505,3.459785381,14.66675803,Low income,33.981,6.742,128.9033,19362600000.0,547.228,11.2,51.2,63.763,54.1971,1.634
AFG,Afghanistan,South Asia,Low,2017,0.188995444,90.342,23.649936161647123,0.829875519,10.19174981,7.741627336,12.52265978,0.678,755.0683347,3385.357825,2085.487571,0.482,0.380054352,0.540514172,0.4913376764386536,45.36517,26.35624195933059,28.0697403,63.016,66.0993,60.1049,20.887,72.183,1.41,638.0,2.561424686,1.588561679,3.149594151,0.478,27.44479495,72.55520505,4.026264326,14.6906323,Low income,33.211,6.575,132.89,20191800000.0,556.302,13.5,49.5,64.13,55.596,1.559
AFG,Afghanistan,South Asia,Low,2018,0.22449203,88.431,23.649936161647123,0.82815735,10.19754982,7.716469765,12.55982971,0.671,755.8249851,3325.135032,2054.939895,0.483,0.383312051,0.540119661,0.4913376764386536,45.36517,26.35624195933059,27.50606918,63.081,66.4576,59.9231,21.228,72.023,1.32,638.0,2.659188987,1.74676546,3.216718368,0.479,27.44479495,72.55520505,4.592743271,14.71450657,Low income,27.916203604505636,8.702866465430862,137.0,19363000000.0,520.897,15.712817964592324,47.9,65.25960179655871,56.9378,1.542
ALB,Albania,Europe & Central Asia,High,2010,1.508841688,19.65,12.81314377,6.631299735,12.99997044,13.38677025,12.64352989,0.246,7945.21638,13332.01551,10643.05764,0.754,0.737543479,0.76825762,0.657,11.9,18.33096,8.208471298,77.9359,80.6878,75.4925,46.727,63.788,11.92,21.0,9.626719793,9.18828996,10.09342321,0.704,16.42857143,83.57142857,81.02229563,87.28593699,Upper middle income,12.001,6.841,2031.462787662508,11927000000.0,4094.36,45.0,11.9,76.562,106.315,14.086
